param N := 20;
param K1 := 2;
param K2 := 2;

param Preferences: 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 :=
	1	0 3 9 12 19 2 15 13 11 5 4 18 1 10 14 7 8 6 17 16 
	2	5 0 2 7 1 9 17 10 11 14 12 3 19 13 16 18 4 6 15 8 
	3	6 5 0 12 15 2 17 9 8 16 11 19 3 14 4 1 7 18 10 13 
	4	2 7 3 0 17 4 1 11 19 13 9 14 18 5 12 6 8 16 10 15 
	5	1 5 17 11 0 16 18 2 15 9 14 13 6 10 3 7 4 12 8 19 
	6	19 10 5 9 2 0 13 7 8 11 6 4 1 16 12 17 15 3 18 14 
	7	6 8 16 15 1 10 0 4 2 17 14 9 18 12 19 11 3 7 5 13 
	8	2 3 1 16 7 4 19 0 13 6 12 17 15 18 14 9 8 10 11 5 
	9	4 5 6 9 19 10 3 12 0 13 17 18 14 8 7 11 15 2 1 16 
	10	18 7 3 6 14 9 5 8 19 0 16 13 17 2 15 11 1 10 12 4 
	11	5 1 10 3 11 6 12 9 19 2 0 4 15 17 7 18 13 16 8 14 
	12	10 5 2 8 13 11 12 16 4 18 19 0 9 7 15 6 1 3 14 17 
	13	2 15 4 14 9 19 12 1 16 8 6 3 0 5 18 7 13 11 17 10 
	14	1 4 10 16 19 7 15 11 18 14 13 3 2 0 17 9 12 6 8 5 
	15	17 10 4 18 3 9 16 12 14 6 8 2 1 19 0 11 15 13 7 5 
	16	14 8 12 16 11 10 5 15 3 1 13 17 2 7 9 0 19 18 4 6 
	17	7 15 17 3 11 18 4 8 9 2 6 1 14 5 19 10 0 16 12 13 
	18	16 6 13 1 7 3 10 9 12 14 4 8 11 19 2 18 15 0 17 5 
	19	5 13 6 3 18 14 9 4 8 7 15 1 19 10 2 16 11 12 0 17 
	20	14 7 15 19 8 11 13 4 5 16 18 12 10 6 9 17 1 3 2 0 ;
