param N := 100;
param K1 := 2;
param K2 := 2;

param Preferences: 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 :=
	1	0 89 99 17 2 58 18 45 96 40 14 63 21 85 65 31 22 59 26 82 76 35 64 71 69 88 44 98 87 56 13 11 23 7 28 73 47 48 30 72 84 33 78 51 49 15 80 62 91 39 66 75 32 81 68 70 9 50 77 8 41 61 42 12 24 67 94 19 92 3 54 43 60 52 20 53 46 57 93 25 4 29 38 74 5 6 27 16 83 34 36 10 90 55 1 86 79 37 95 97 
	2	99 0 14 22 9 98 85 60 41 20 13 5 67 43 77 24 97 25 93 52 30 55 39 31 37 46 87 82 33 95 45 17 88 73 71 91 59 96 81 3 16 1 32 28 53 72 7 58 34 36 40 78 49 21 56 74 69 86 80 50 47 62 42 29 26 12 23 70 61 66 11 68 35 83 27 76 6 19 64 63 10 18 75 65 79 57 15 90 92 2 51 38 54 4 44 48 89 84 8 94 
	3	73 42 0 66 14 55 34 84 49 10 70 94 92 87 13 67 98 53 68 48 16 57 61 77 85 71 81 37 19 91 78 30 38 44 31 5 1 7 22 60 28 46 82 59 25 90 72 99 32 63 80 24 35 97 52 20 96 4 79 93 40 29 83 47 27 75 64 65 86 3 36 11 23 62 39 51 6 17 50 21 58 12 76 18 43 8 26 56 45 15 9 74 69 41 95 88 89 2 54 33 
	4	15 65 67 0 54 84 21 80 36 73 78 66 68 56 43 50 75 3 60 53 42 2 12 63 31 22 28 7 38 27 83 74 69 70 4 44 13 45 10 47 88 33 71 18 52 72 79 94 16 23 77 55 46 57 97 90 96 9 62 85 89 32 81 37 30 8 64 34 51 25 98 91 93 86 95 59 99 26 11 82 87 6 49 19 35 14 1 17 92 76 48 5 29 58 40 61 41 20 24 39 
	5	36 1 83 91 0 74 55 26 59 58 77 82 85 52 20 66 65 14 46 88 64 97 98 28 68 96 69 89 63 37 33 80 92 2 27 67 12 8 72 99 93 24 62 50 10 86 25 54 34 90 39 44 70 76 16 32 40 3 60 57 56 38 48 42 53 79 35 4 78 94 15 23 30 13 11 61 84 17 51 22 5 81 21 6 31 87 9 19 43 41 49 45 95 18 75 7 47 73 29 71 
	6	12 29 73 47 53 0 49 96 67 7 84 57 69 36 70 22 55 39 59 45 32 62 72 24 5 77 16 79 15 58 25 48 63 85 6 93 61 95 11 26 76 88 2 81 4 23 50 80 98 91 14 42 60 13 86 30 56 87 41 33 46 18 82 92 27 83 38 43 37 90 1 19 40 3 68 20 31 66 94 9 65 99 8 54 97 10 35 28 51 44 17 74 64 34 52 71 21 75 89 78 
	7	96 4 29 3 84 30 0 71 41 42 92 64 78 98 37 70 11 89 33 45 8 75 16 86 95 9 18 94 62 91 56 38 65 39 22 74 14 47 82 31 26 88 80 44 87 68 77 34 63 73 32 5 58 59 40 72 54 7 76 6 85 97 25 13 61 67 36 48 83 43 19 35 60 57 51 53 17 28 66 81 23 1 21 52 99 50 69 79 55 46 10 27 15 20 12 93 90 49 24 2 
	8	33 58 48 59 34 82 70 0 61 44 8 31 71 11 20 29 1 97 83 38 37 93 89 79 73 81 32 99 45 74 55 56 39 53 92 2 7 76 90 15 17 96 98 12 9 66 62 65 42 30 87 6 26 50 69 80 94 21 88 23 24 51 68 63 14 52 13 41 57 46 10 22 75 84 40 16 25 78 67 64 36 95 85 5 91 43 54 19 4 60 18 49 3 28 77 35 72 86 27 47 
	9	73 3 61 9 65 63 67 7 0 29 43 93 49 54 59 8 22 87 35 46 89 98 71 44 69 4 6 41 77 34 82 92 42 12 48 75 91 13 53 17 74 95 31 96 28 97 27 24 55 66 2 10 11 45 15 56 90 94 47 83 37 19 21 99 76 60 50 51 20 84 25 30 36 58 33 5 79 88 57 80 14 23 16 32 86 18 70 81 64 40 39 1 26 62 68 85 38 52 78 72 
	10	46 47 48 72 14 35 33 13 3 0 34 30 12 20 39 86 74 11 53 81 52 36 42 7 65 67 9 73 27 93 58 69 94 78 80 43 89 45 22 82 44 91 77 88 66 85 98 99 17 62 41 68 5 16 40 64 23 8 60 28 26 18 6 61 56 95 38 54 92 76 55 37 83 97 10 57 96 4 71 29 87 19 24 25 75 59 31 51 70 21 49 90 79 84 50 2 15 32 1 63 
